scoring_id,checkingstatus,loanduration,credithistory,loanpurpose,loanamount,existingsavings,employmentduration,installmentpercent,sex,othersonloan,currentresidenceduration,ownsproperty,age,installmentplans,housing,existingcreditscount,job,dependents,telephone,foreignworker,prediction,scoring_timestamp
42,0.0,23.0,4.0,9.0,2964.0,3.0,3.0,25.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:03:00.709001
43,2.0,12.0,0.0,5.0,250.0,3.0,4.0,48.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2022-03-04T15:03:20.709001
44,2.0,4.0,0.0,10.0,2064.0,3.0,0.0,35.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:03:40.709001
45,0.0,24.0,3.0,7.0,3091.0,1.0,3.0,52.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,2022-03-04T15:04:00.709001
46,0.0,11.0,1.0,10.0,3605.0,3.0,0.0,36.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:04:20.709001
47,0.0,14.0,4.0,2.0,2609.0,3.0,1.0,32.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T15:04:40.709001
48,1.0,35.0,0.0,3.0,5208.0,3.0,1.0,32.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:05:00.709001
49,0.0,22.0,1.0,7.0,2783.0,3.0,3.0,57.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:05:20.709001
50,0.0,26.0,1.0,7.0,250.0,3.0,1.0,43.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:05:40.709001
51,2.0,16.0,4.0,2.0,1149.0,3.0,0.0,47.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:06:00.709001
52,0.0,19.0,1.0,9.0,5368.0,3.0,1.0,58.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2022-03-04T15:06:20.709001
53,3.0,48.0,3.0,6.0,7083.0,1.0,2.0,45.0,1.0,5.0,0.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T15:06:40.709001
54,0.0,17.0,4.0,2.0,4188.0,2.0,2.0,32.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:07:00.709001
55,1.0,24.0,1.0,7.0,5600.0,3.0,3.0,42.0,1.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:07:20.709001
56,0.0,15.0,1.0,5.0,3322.0,0.0,1.0,35.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:07:40.709001
57,1.0,33.0,4.0,5.0,1231.0,0.0,0.0,53.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:08:00.709001
58,0.0,31.0,3.0,5.0,5702.0,0.0,2.0,49.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:08:20.709001
59,0.0,14.0,1.0,2.0,2886.0,0.0,4.0,24.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:08:40.709001
60,3.0,9.0,4.0,7.0,3533.0,2.0,2.0,63.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:09:00.709001
61,0.0,4.0,0.0,2.0,250.0,0.0,3.0,52.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:09:20.709001
62,0.0,16.0,4.0,7.0,2208.0,3.0,2.0,47.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:09:40.709001
63,3.0,27.0,4.0,0.0,4164.0,0.0,1.0,18.0,0.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:10:00.709001
64,3.0,44.0,3.0,0.0,7532.0,2.0,2.0,41.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2022-03-04T15:10:20.709001
65,3.0,36.0,3.0,8.0,5673.0,4.0,2.0,34.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2022-03-04T15:10:40.709001
66,0.0,4.0,0.0,3.0,1008.0,3.0,4.0,18.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T15:11:00.709001
67,3.0,28.0,3.0,3.0,4926.0,1.0,0.0,52.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2022-03-04T15:11:20.709001
68,3.0,26.0,4.0,4.0,5740.0,0.0,1.0,38.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2022-03-04T15:11:40.709001
69,2.0,13.0,0.0,2.0,393.0,3.0,1.0,53.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:12:00.709001
70,2.0,7.0,0.0,3.0,250.0,3.0,3.0,46.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:12:20.709001
71,3.0,25.0,4.0,7.0,1668.0,0.0,1.0,40.0,0.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022-03-04T15:12:40.709001
72,0.0,22.0,1.0,8.0,812.0,3.0,1.0,42.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2022-03-04T15:13:00.709001
73,0.0,13.0,4.0,5.0,2735.0,1.0,1.0,35.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:13:20.709001
74,3.0,26.0,3.0,5.0,3573.0,2.0,2.0,43.0,1.0,5.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:13:40.709001
75,3.0,25.0,4.0,4.0,6921.0,2.0,2.0,52.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T15:14:00.709001
76,0.0,4.0,1.0,2.0,1652.0,1.0,0.0,39.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2022-03-04T15:14:20.709001
77,2.0,14.0,4.0,8.0,250.0,3.0,4.0,56.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2022-03-04T15:14:40.709001
78,1.0,24.0,1.0,5.0,3428.0,1.0,1.0,37.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:15:00.709001
79,3.0,40.0,4.0,10.0,5585.0,1.0,1.0,53.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2022-03-04T15:15:20.709001
80,2.0,17.0,4.0,2.0,3366.0,3.0,0.0,31.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:15:40.709001
81,3.0,26.0,4.0,3.0,7192.0,0.0,0.0,54.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T15:16:00.709001
82,3.0,27.0,4.0,0.0,6932.0,0.0,1.0,30.0,0.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2022-03-04T15:16:20.709001
83,3.0,33.0,4.0,5.0,4603.0,1.0,2.0,32.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2022-03-04T15:16:40.709001
84,3.0,32.0,3.0,10.0,6483.0,1.0,1.0,55.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2022-03-04T15:17:00.709001
85,1.0,22.0,1.0,3.0,250.0,3.0,0.0,52.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:17:20.709001
86,2.0,4.0,0.0,2.0,250.0,3.0,0.0,39.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:17:40.709001
87,0.0,42.0,4.0,8.0,1420.0,1.0,2.0,47.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:18:00.709001
88,1.0,21.0,1.0,3.0,3170.0,2.0,2.0,60.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:18:20.709001
89,0.0,28.0,1.0,7.0,337.0,0.0,3.0,59.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:18:40.709001
90,0.0,21.0,1.0,2.0,2638.0,3.0,0.0,30.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:19:00.709001
91,2.0,13.0,4.0,5.0,690.0,3.0,0.0,47.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2022-03-04T15:19:20.709001
92,2.0,4.0,2.0,2.0,250.0,3.0,4.0,31.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:19:40.709001
93,3.0,44.0,4.0,7.0,5275.0,4.0,2.0,37.0,1.0,5.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T15:20:00.709001
94,3.0,48.0,3.0,6.0,8310.0,1.0,1.0,56.0,1.0,5.0,0.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T15:20:20.709001
95,0.0,17.0,1.0,2.0,250.0,3.0,3.0,44.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:20:40.709001
96,3.0,12.0,1.0,2.0,484.0,0.0,3.0,52.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:21:00.709001
97,2.0,12.0,0.0,2.0,536.0,3.0,0.0,30.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:21:20.709001
98,2.0,12.0,0.0,2.0,250.0,1.0,0.0,52.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:21:40.709001
99,2.0,22.0,4.0,5.0,1779.0,2.0,2.0,57.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2022-03-04T15:22:00.709001
100,0.0,17.0,4.0,7.0,2164.0,0.0,3.0,29.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2022-03-04T15:22:20.709001
101,2.0,7.0,0.0,3.0,779.0,0.0,3.0,46.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:22:40.709001
102,3.0,32.0,3.0,8.0,6169.0,4.0,2.0,30.0,0.0,5.0,0.0,3.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2022-03-04T15:23:00.709001
103,3.0,19.0,3.0,9.0,8121.0,0.0,1.0,43.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:23:20.709001
104,2.0,4.0,1.0,2.0,2890.0,3.0,0.0,46.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T15:23:40.709001
105,2.0,12.0,4.0,2.0,4304.0,1.0,2.0,51.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2022-03-04T15:24:00.709001
106,2.0,8.0,4.0,2.0,368.0,3.0,3.0,55.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:24:20.709001
107,1.0,19.0,1.0,9.0,5242.0,0.0,0.0,46.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:24:40.709001
108,2.0,4.0,2.0,2.0,250.0,3.0,3.0,30.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:25:00.709001
109,3.0,44.0,3.0,4.0,9119.0,2.0,2.0,34.0,1.0,5.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2022-03-04T15:25:20.709001
110,3.0,20.0,3.0,5.0,3893.0,1.0,1.0,23.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:25:40.709001
111,0.0,9.0,0.0,2.0,1455.0,3.0,3.0,33.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T15:26:00.709001
112,3.0,13.0,1.0,3.0,1506.0,3.0,1.0,30.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T15:26:20.709001
113,3.0,31.0,4.0,3.0,4422.0,4.0,2.0,35.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2022-03-04T15:26:40.709001
114,0.0,12.0,1.0,10.0,3349.0,1.0,3.0,30.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:27:00.709001
115,0.0,24.0,3.0,4.0,690.0,4.0,1.0,33.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:27:20.709001
116,2.0,27.0,1.0,2.0,1675.0,3.0,1.0,46.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:27:40.709001
117,0.0,4.0,1.0,2.0,250.0,3.0,0.0,30.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:28:00.709001
118,3.0,27.0,3.0,5.0,4041.0,1.0,1.0,46.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,2022-03-04T15:28:20.709001
119,3.0,22.0,4.0,3.0,2916.0,1.0,0.0,44.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:28:40.709001
120,3.0,26.0,0.0,0.0,5232.0,3.0,0.0,25.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:29:00.709001
121,0.0,26.0,1.0,7.0,3261.0,3.0,3.0,19.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T15:29:20.709001
122,0.0,17.0,1.0,3.0,3002.0,3.0,3.0,18.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T15:29:40.709001
123,3.0,41.0,3.0,7.0,6124.0,2.0,2.0,33.0,1.0,5.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T15:30:00.709001
124,0.0,18.0,4.0,8.0,250.0,0.0,0.0,53.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2022-03-04T15:30:20.709001
125,1.0,32.0,3.0,5.0,1528.0,2.0,0.0,50.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T15:30:40.709001
126,3.0,32.0,0.0,5.0,4005.0,2.0,1.0,27.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T15:31:00.709001
127,2.0,27.0,1.0,2.0,1815.0,3.0,1.0,28.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2022-03-04T15:31:20.709001
128,2.0,24.0,1.0,3.0,1380.0,3.0,1.0,57.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2022-03-04T15:31:40.709001
129,3.0,17.0,1.0,8.0,1574.0,0.0,3.0,30.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2022-03-04T15:32:00.709001
130,0.0,37.0,4.0,0.0,4771.0,1.0,2.0,61.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T15:32:20.709001
131,0.0,10.0,4.0,5.0,250.0,3.0,1.0,27.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T15:32:40.709001
132,3.0,24.0,4.0,7.0,7762.0,2.0,3.0,40.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T15:33:00.709001
